name,row,short_description,images
"PLOCA  ''BEHATON''",4,"16,5x20 d=6 cm","image9.jpeg|image27.jpeg|image34.jpeg"
"PLOCA  ''BEHATON''",8,"16,5x20 d=8 cm","image10.jpeg|image24.jpeg|image36.png"
"PLOCA  ''BEHATON''",12,"(ravna ivica) 16,5x20 d=10 cm","image8.jpeg"
"PLOCA CLASSIC",16,"Dimenzija 30x30 d=6 cm","image6.jpeg|image7.jpeg"
"PLOCA ELEGANCE",20,"Dimenzija 20x20 d=6 cm","image3.jpeg|image4.jpeg"
"PLOCA ELEGANCE",24,"Dimenzija 20x20 d=8 cm","image3.jpeg|image11.jpeg"
"PLOCA UNI ELEGANCE",28,"Dimenzija 20x10 d=6 cm","image1.jpeg|image2.jpeg"
"PLOCA MINI ELEGANCE",32,"Dimenzija 10x10 d=6 cm","image5.jpeg"
"PLOCA UNI PROFIL",36,"Dimenzija 24x12 d=6 cm","image13.jpeg"
"PLOCA SACE",39,"Dimenzija 22x22 d=6 cm","image22.jpeg"
"PLOCA CITY LINE (ravna ivica)",42,"Dimenzija 24x16 d=6 cm",""
"PLOCA ANTICA",46,"Dimenzija 7,50 x 11,50 x 10 d=6 cm","image19.jpeg|image20.jpeg"
"PLOCA COMBO (ravna ivica) 60x40 d=6 cm (1 kom/m²) 40x40 d=6 cm (2 kom/m²) 40x20 d=6 cm (3 kom/m²)",50,"20x20 d=6 cm (4 kom/m²)","image15.jpeg"
"PLOCA CITY PARK (ravna ivica) 7x14 d=6 cm (12 kom/m²) 14x14 d=6 cm (18 kom/m²)",54,"21x14 d=6 cm (18 kom/m²)","image17.jpeg"
"PLOCA  VODILJA",58,"TAKTILNA Dimenzija 30x30 d=6 cm","image18.jpeg"
"PLOCA ECO",61,"Dimenzija 20x20 d=8 cm","image21.jpeg"
"PLOCA RASTER",63,"Dimenzija 60x40 d=10 cm","image14.jpeg"
